iter	Passed	Remaining
0	2	216
1	4	204
2	6	210
3	8	195
4	9	183
5	11	178
6	13	177
7	14	166
8	15	157
9	16	148
10	17	142
11	18	138
12	19	133
13	21	129
14	21	124
15	22	120
16	23	116
17	25	113
18	26	111
19	27	109
20	28	105
21	28	102
22	29	99
23	30	96
24	31	93
25	31	90
26	32	88
27	33	85
28	34	83
29	34	81
30	35	79
31	36	77
32	36	74
33	37	72
34	38	71
35	39	69
36	39	67
37	40	66
38	41	64
39	42	63
40	42	61
41	43	59
42	44	58
43	44	56
44	45	55
45	46	54
46	46	52
47	47	51
48	48	50
49	48	48
50	49	47
51	50	46
52	50	45
53	51	43
54	52	42
55	52	41
56	53	40
57	54	39
58	55	38
59	56	37
60	56	36
61	57	35
62	58	34
63	58	33
64	59	32
65	60	31
66	61	30
67	62	29
68	62	28
69	63	27
70	64	26
71	64	25
72	65	24
73	66	23
74	66	22
75	67	21
76	68	20
77	69	19
78	69	18
79	70	17
80	71	16
81	71	15
82	72	14
83	73	13
84	73	13
85	74	12
86	75	11
87	75	10
88	76	9
89	77	8
90	77	7
91	78	6
92	79	5
93	79	5
94	80	4
95	81	3
96	81	2
97	82	1
98	83	0
99	83	0
